booking_id,traveler_id,booking_date,trip_type,flight_id,seat_class,passenger_count,hotel_id,room_type,check_in,check_out,nights,total_amount_inr,booking_status,payment_status
BK4001,TR1038,2026-01-18,HotelOnly,,,1,HT3032,Suite,2026-03-13,2026-03-15,2,74599,Completed,Paid
BK4002,TR1001,2026-02-04,FlightOnly,FL2074,Premium Economy,4,,,,,0,59130,Confirmed,Paid
BK4003,TR1018,2026-04-23,FlightOnly,FL2119,Business,2,,,,,0,120485,Confirmed,Paid
BK4004,TR1008,2026-03-24,HotelOnly,,,1,HT3011,Standard,2026-04-13,2026-04-14,1,6407,Confirmed,Paid
BK4005,TR1022,2026-03-04,Flight+Hotel,FL2061,Economy,1,HT3007,Deluxe,2026-03-28,2026-03-29,1,34461,Confirmed,Paid
BK4006,TR1032,2026-03-20,FlightOnly,FL2118,Economy,4,,,,,0,194784,Confirmed,Paid
BK4007,TR1013,2026-02-20,Flight+Hotel,FL2028,Premium Economy,3,HT3006,Deluxe,2026-03-16,2026-03-17,1,176361,Cancelled,Refunded
BK4008,TR1017,2026-05-18,Flight+Hotel,FL2080,Premium Economy,3,HT3009,Deluxe,2026-05-31,2026-06-03,3,177553,Confirmed,Paid
BK4009,TR1005,2026-04-19,Flight+Hotel,FL2106,Economy,3,HT3031,Suite,2026-05-22,2026-05-25,3,118401,Confirmed,Paid
BK4010,TR1014,2026-03-04,Flight+Hotel,FL2028,Premium Economy,4,HT3006,Suite,2026-03-16,2026-03-17,1,236692,Confirmed,Paid
BK4011,TR1034,2026-03-19,HotelOnly,,,2,HT3005,Deluxe,2026-05-15,2026-05-20,5,18687,Confirmed,Paid
BK4012,TR1016,2026-05-03,HotelOnly,,,4,HT3051,Standard,2026-06-01,2026-06-04,3,52899,Confirmed,Paid
BK4013,TR1014,2026-03-10,HotelOnly,,,2,HT3011,Suite,2026-03-22,2026-03-24,2,23065,Confirmed,Paid
BK4014,TR1015,2026-02-24,Flight+Hotel,FL2061,Premium Economy,1,HT3041,Suite,2026-03-28,2026-04-04,7,114571,Confirmed,Paid
BK4015,TR1010,2026-02-07,HotelOnly,,,4,HT3026,Deluxe,2026-02-21,2026-02-25,4,95645,Completed,Paid
BK4016,TR1037,2026-03-14,Flight+Hotel,FL2094,Premium Economy,1,HT3038,Suite,2026-05-14,2026-05-18,4,124380,Completed,Paid
BK4017,TR1006,2026-05-02,Flight+Hotel,FL2094,Economy,3,HT3019,Suite,2026-05-12,2026-05-18,6,316811,Confirmed,Paid
BK4018,TR1001,2025-12-17,Flight+Hotel,FL2112,Economy,4,HT3034,Standard,2026-02-07,2026-02-14,7,182562,Confirmed,Paid
BK4019,TR1011,2026-01-11,Flight+Hotel,FL2005,Premium Economy,2,HT3039,Deluxe,2026-02-22,2026-02-27,5,194074,Confirmed,Paid
BK4020,TR1022,2026-02-06,Flight+Hotel,FL2095,Economy,4,HT3007,Deluxe,2026-02-19,2026-02-20,1,64238,Confirmed,Paid
